season,week,is_playoff,is_neutral,home_completion_pct,home_passing_yds_pg,home_passing_tds_pg,home_passing_cpoe,home_sacks_pg,home_carries_pg,home_rushing_yds_pg,home_rushing_tds_pg,home_rushing_epa_pg,home_targets_pg,home_receiving_yds_pg,home_receiving_tds_pg,home_receiving_epa_pg,home_turnovers_pg,home_penalty_yds_pg,home_dst_tds_pg,home_passing_yds_allowed_pg,home_passing_tds_allowed_pg,home_rushing_yds_allowed_pg,home_rushing_tds_allowed_pg,home_receiving_yds_allowed_pg,home_receiving_tds_allowed_pg,away_completion_pct,away_passing_yds_pg,away_passing_tds_pg,away_passing_cpoe,away_sacks_pg,away_carries_pg,away_rushing_yds_pg,away_rushing_tds_pg,away_rushing_epa_pg,away_targets_pg,away_receiving_yds_pg,away_receiving_tds_pg,away_receiving_epa_pg,away_turnovers_pg,away_penalty_yds_pg,away_dst_tds_pg,away_passing_yds_allowed_pg,away_passing_tds_allowed_pg,away_rushing_yds_allowed_pg,away_rushing_tds_allowed_pg,away_receiving_yds_allowed_pg,away_receiving_tds_allowed_pg,home_spread_covered,home_win,home_rest,away_rest,spread
2015,2,0,0,0.6666666666666666,243.0,3.0,1.3001065100392988,2.0,32.0,97.0,0.0,-7.800646529940423,31.0,243.0,3.0,10.276954779906632,0.0,25.0,0.0,334.0,2.0,98.0,0.0,334.0,2.0,0.6,175.0,0.0,-7.397209480404854,4.0,25.0,69.0,0.0,-4.8291485703666694,40.0,175.0,0.0,-6.171884276244277,1.0,45.0,1.0,117.0,0.0,73.0,0.0,117.0,0.0,0,0,4,4,3.0
2015,2,0,0,0.7368421052631579,195.0,1.0,5.194863990733498,0.0,36.0,147.0,2.0,-2.5390121189262738,19.0,195.0,1.0,9.972637575374753,0.0,113.0,0.0,243.0,2.0,64.0,0.0,243.0,2.0,0.78125,288.0,4.0,12.43072859942913,2.0,24.0,80.0,0.0,-0.2526274503907189,32.0,288.0,4.0,19.842498338286532,0.0,64.0,0.0,351.0,1.0,134.0,1.0,351.0,1.0,0,0,7,10,2.0
2015,2,0,0,0.5806451612903226,175.0,1.0,-6.241384533143813,2.0,35.0,105.0,0.0,-5.129245370333203,31.0,175.0,1.0,3.0219497405593048,1.0,22.0,1.0,183.0,1.0,96.0,0.0,183.0,1.0,0.5531914893617021,334.0,2.0,-7.9889245007349095,5.0,21.0,98.0,0.0,-4.144401136378292,46.0,334.0,2.0,6.042255371693307,2.0,39.0,0.0,243.0,3.0,97.0,0.0,243.0,3.0,2,1,7,7,3.0
2015,2,0,0,0.5,225.0,1.0,-8.88122294630323,2.0,33.0,189.0,1.0,7.547915141174468,35.0,225.0,1.0,4.004944018604686,1.0,64.0,0.0,189.0,3.0,133.0,1.0,189.0,3.0,0.59375,307.0,3.0,-2.395354025065899,0.0,25.0,120.0,1.0,-8.709701570420293,32.0,307.0,3.0,16.25063800056821,1.0,30.0,0.0,355.0,1.0,54.0,0.0,355.0,1.0,0,0,7,7,-2.0
2015,2,0,0,0.5625,231.0,1.0,-7.247921824455261,3.0,28.0,104.0,0.0,-8.630164562421083,32.0,231.0,1.0,6.790003288653679,4.0,109.0,0.0,179.0,2.0,154.0,2.0,179.0,2.0,0.8666666666666667,209.0,4.0,21.860681176185608,2.0,32.0,124.0,1.0,-5.021386343578342,15.0,209.0,4.0,23.99797971866792,1.0,55.0,1.0,210.0,2.0,92.0,0.0,210.0,2.0,2,1,7,7,1.0
2015,2,0,0,0.71875,231.0,0.0,10.712609608327188,5.0,17.0,71.0,0.0,0.6044983578030951,31.0,231.0,0.0,-7.00833380931226,1.0,25.0,0.0,165.0,0.0,230.0,2.0,165.0,0.0,0.6333333333333333,246.0,2.0,2.59214671594756,1.0,16.0,69.0,1.0,1.3622397239378188,28.0,246.0,2.0,6.98106030782219,2.0,29.0,1.0,403.0,2.0,96.0,2.0,403.0,2.0,2,1,6,7,2.5
2015,2,0,0,0.625,355.0,1.0,-8.648963458836079,2.0,20.0,54.0,0.0,-3.7499618945876136,48.0,355.0,1.0,3.2020071231304477,1.0,73.0,0.0,307.0,3.0,120.0,1.0,307.0,3.0,0.48484848484848486,210.0,2.0,-12.999913638288325,4.0,26.0,92.0,0.0,-8.117986739147455,33.0,210.0,2.0,-5.196546485676663,2.0,97.0,0.0,209.0,4.0,124.0,1.0,209.0,4.0,0,0,7,7,9.5
2015,2,0,0,0.5555555555555556,189.0,0.0,-7.593736323443326,1.0,24.0,99.0,1.0,2.884363857418066,33.0,189.0,0.0,4.182459957249774,0.0,44.0,0.0,356.0,3.0,80.0,0.0,356.0,3.0,0.6764705882352942,298.0,2.0,2.046970584813286,1.0,35.0,105.0,0.0,-8.790971271952138,34.0,298.0,2.0,3.357505280339993,2.0,57.0,0.0,336.0,1.0,63.0,2.0,336.0,1.0,0,0,7,6,2.0
2015,2,0,0,0.6842105263157895,351.0,1.0,10.027081715433221,3.0,25.0,134.0,1.0,2.6040341440774277,38.0,351.0,1.0,20.094878589746145,1.0,77.0,0.0,288.0,4.0,80.0,0.0,288.0,4.0,0.6538461538461539,165.0,0.0,1.4886906513800988,1.0,39.0,230.0,2.0,9.345340427709743,26.0,165.0,0.0,1.8286549716272105,0.0,57.0,0.0,231.0,0.0,71.0,0.0,231.0,0.0,2,1,10,6,6.0
2015,2,0,0,0.55,183.0,1.0,-7.843474470652067,5.0,21.0,96.0,0.0,-0.8967868640320376,39.0,183.0,1.0,-13.447136895852525,3.0,25.0,0.0,175.0,1.0,105.0,0.0,175.0,1.0,0.6470588235294118,226.0,1.0,2.125527928857242,3.0,18.0,74.0,0.0,-5.5771138066775165,34.0,226.0,1.0,9.350480281452526,1.0,39.0,1.0,196.0,1.0,161.0,0.0,196.0,1.0,2,1,7,7,-5.0
